License_Number,Hospital_Name,City,Year,Quarter,Licensed_Beds,Acute_Care_Medicare_Discharges,Acute_Care_Medicaid_Discharges,Acute_Care_Self_Pay_Discharges,Acute_Care_Commercial_Discharges,Acute_Care_Other_Discharges,Acute_Care_Total_Discharges,Swing_Bed_Medicare_Discharges1,Swing_Bed_Medicaid_Discharges,Swing_Bed_Self_Pay_Discharges,Swing_Bed_Commercial_Discharges,Swing_Bed_Other_Discharges,Swing_Bed_Total_Discharges,SNF_Medicare_Discharges,SNF_Medicaid_Discharges,SNF_Self_Pay_Discharges,SNF_Commercial_Discharges,SNF_Other_Discharges,SNF_Total_Discharges,Psych_Rehab_CDU_Medicare_Discharges,Psych_Rehab_CDU_Medicaid_Discharges,Psych_Rehab_CDU_Self_Pay_Discharges,Psych_Rehab_CDU_Commercial_Discharges,Psych_Rehab_CDU_Other_Discharges,Psych_Rehab_CDU_Total_Discharges,Total_Medicare_Discharges,Total_Medicaid_Discharges,Total_Self_Pay_Discharges,Total_Commercial_Discharges,Total_Other_Discharges,Total_Discharges,Acute_Care_Medicare_Patient_Days,Acute_Care_Medicaid_Patient_Days,Acute_Care_Self_Pay_Patient_Days,Acute_Care_Commercial_Patient_Days,Acute_Care_Other_Patient_Days,Acute_Care_Total_Patient_Days,Swing_Bed_Medicare_Patient_Days,Swing_Bed_Medicaid_Patient_Days,Swing_Bed_Self_Pay_Patient_Days,Swing_Bed_Commercial_Patient_Days,Swing_Bed_Other_Patient_Days,Swing_Bed_Total_Patient_Days,SNF_Medicare_Patient_Days,SNF_Medicaid_Patient_Days,SNF_Self_Pay_Patient_Days,SNF_Commercial_Patient_Days,SNF_Other_Patient_Days,SNF_Total_Patient_Days,Psych_Rehab_CDU_Medicare_Patient_Days,Psych_Rehab_CDU_Medicaid_Patient_Days,Psych_Rehab_CDU_Self_Pay_Patient_Days,Psych_Rehab_CDU_Commercial_Patient_Days,Psych_Rehab_CDU_Other_Patient_Days,Psych_Rehab_CDU_Total_Patient_Days,Total_Medicare_Patient_Days,Total_Medicaid_Patient_Days,Total_Self_Pay_Patient_Days,Total_Commercial_Patient_Days,Total_Other_Patient_Days,Total_Patient_Days,Total_Inpatient_Surgeries,Total_Births,Total_Newborn_Days,Number_of_Admissions_from_ER,Emergency_Room_Visits,Outpatient_Surgery_Visits,Observation_Visits,Home_Health_Visits,All_Other_Visits,Total_Outpatient_Visits,Acute_Medicare_Inpatient_Revenue,Acute_Medicaid_Inpatient_Revenue,Acute_Self_Pay_Inpatient_Revenue,Acute_Other_Inpatient_Revenue,Acute_Total_Inpatient_Revenue,Acute_Medicare_Outpatient_Revenue,Acute_Medicaid_Outpatient_Revenue,Acute_Self_Pay_Outpatient_Revenue,Acute_Commercial_Inpatient_Revenue,Acute_Commercial_Outpatient_Revenue,Acute_Other_Outpatient_Revenue,Acute_Total_Outpatient_Revenue,Swing_Bed_Medicare_Revenue,Swing_Bed_Medicaid_Revenue,Swing_Bed_Self_Pay_Revenue,Swing_Bed_Commercial_Revenue,Swing_Bed_Other_Revenue,Swing_Bed_Total_Revenue,SNF_Medicare_Revenue,SNF_Medicaid_Revenue,SNF_Self_Pay_Revenue,SNF_Commercial_Revenue,SNF_Other_Revenue,SNF_Total_Revenue,Psych_Rehab_CDU_Medicare_Revenue,Psych_Rehab_CDU_Medicaid_Revenue,Psych_Rehab_CDU_Self_Pay_Revenue,Psych_Rehab_CDU_Commercial_Revenue,Psych_Rehab_CDU_Other_Revenue,Psych_Rehab_DCU_Total_Revenue,Home_Health_Medicare_Revenue,Home_Health_Medicaid_Revenue,Home_Health_Self_Pay_Revenue,Home_Health_Commercial_Revenue,Home_Health_Other_Revenue,Home_Health_Total_Revenue,Total_Medicare_Revenue,Total_Medicaid_Revenue,Total_Self_Pay_Revenue,Total_Commercial_Revenue,Total_Other_Revenue,Total_Revenue,Acute_Contractuals_Medicare,Acute_Contractuals_Medicaid,Acute_Contractuals_Self_Pay,Acute_Contractuals_Commercial,Acute_Contractuals_Other,Acute_Contractuals_Total,Other_Contractuals_Medicare,Other_Contractuals_Medicaid,Other_Contractuals_Self_Pay,Other_Contractuals_Commercial,Other_Contractuals_Other,Other_Contractuals_Total,Total_Medicare_Contractuals,Total_Medicaid_Contractuals,Total_Self_Pay_Contractuals,Total_Commercial_Contractuals,Total_Other_Contractuals,Total_Contractuals,Total_Charity_Care,Facility_Payroll,Facility_Paid_Hours,Physician_Payroll,Physician_Paid_Hours,Total_Payroll,Total_Paid_Hours,Employee_Benefit_Expenses,Supply_Expenses,Depreciation_Expense,Interest_Expenses,Professional_Fee_Expense,Bad_Debts,All_Other_Expenses,Total_Operating_Expenses,Other_Operation_Revenue,Operating_Margin,Net_Non_Operating_Gains_Losses,Tax_Subsidies,Gross_Total_Margin,Gross_Accounts_Receivable_Medicare,Gross_Accounts_Receivable_Medicaid,Gross_Accounts_Receivable_Self_Pay,Gross_Accounts_Receivable_Commercial,Gross_Accounts_Receivable_Other,Total_Gross_Accounts_Receivable,Casemix Index
157,St. Luke's Rehabilitation Institute,Spokane,2018,1,102,184,56,0,0,69,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,56,0,0,69,309,2839,1075,0,0,1152,5066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839,1075,0,0,1152,5066,0,0,0,0,0,0,0,0,28627,28627,11239009,4124199,0,4098954,19462162,3008719,2411554,0,0,0,4760030,10180303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14247728,6535753,0,0,8858984,29642465,7099783,4184900,0,0,7415094,18699777,0,0,0,0,0,0,7099783,4184900,0,0,7415094,18699777,126551,7662649,231030,0,0,7662649,231030,1878852,565484,293475,3118,,67785,1982985,12386563,625208,0,0,0,0,9482143,5697017,0,0,10624987,25804147,1.2801
3,Swedish Health Services DBA Swedish Medical Cente,Seattle,2018,1,385,1403,297,0,0,701,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,297,0,0,701,2401,7893,2508,0,0,3706,14107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7893,2508,0,0,3706,14107,965,0,0,746,4662,729,383,0,33748,39522,171331386,48553385,0,106434868,326319639,52252743,15115529,0,0,0,44866894,112235166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223584129,63668914,0,0,151301762,438554805,180200008,49352513,0,0,92216697,321769218,0,0,0,0,0,0,180200008,49352513,0,0,92216697,321769218,4419781,31059124,704337,1100397,27681,32159521,732018,4930444,22218520,5253707,798814,,130714,55588256,120949262,2159306,0,0,0,0,112111763,44548088,0,0,96354850,253014701,2.1411
8,Klickitat County Public Hospital District #1,Goldendale,2018,1,25,35,6,0,0,1,42,11,1,0,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,47,7,0,0,1,55,104,22,0,0,6,132,130,1,0,0,0,131,25,0,0,0,0,25,0,0,0,0,0,0,259,23,0,0,6,288,12,0,0,22,1330,73,33,458,11854,13748,563659,134257,0,45764,743680,4003742,2900850,0,0,0,2483806,9388398,69597,0,0,0,2786,72383,0,0,0,0,0,0,0,0,0,0,0,0,282661,12736,0,0,2235,297632,4919659,3047843,0,0,2534591,10502093,2120145,1851574,0,0,729276,4700995,0,0,0,0,0,0,2120145,1851574,0,0,729276,4700995,132273,3204581,88494,0,0,3204581,88494,809142,448614,312106,63665,,304057,1246307,6084415,0,0,177302,352033,529335,1789954,1009468,0,0,4507006,7306428,0.6653
10,Virginia Mason Medical Center,Seattle,2018,1,371,1700,305,0,0,937,2942,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,1700,317,0,0,937,2954,10233,2392,0,0,3890,16515,0,0,0,0,0,0,0,3064,0,0,0,3064,0,0,0,0,0,0,10233,5456,0,0,3890,19579,1415,0,0,0,6039,2353,0,0,229738,238130,110994234,19247635,0,52748636,182990505,163352393,23933876,0,0,0,204546629,391832898,0,0,0,0,0,0,0,2263450,0,0,0,2263450,0,0,0,0,0,0,0,0,0,0,0,0,274346627,45444961,0,0,257295265,577086853,122323976,12733913,0,0,186730244,321788133,0,0,0,0,0,0,122323976,12733913,0,0,186730244,321788133,3262779,85726130,2198865,41827820,231130,127553950,2429995,22410546,59282026,10001643,3370402,,2842464,41742987,264361554,14850139,0,276206,0,276206,103212068,39126742,0,0,162775303,305114113,1.5373
14,Seattle Children's Hospital,Seattle,2018,1,402,26,1301,0,0,1479,2806,0,81,0,0,92,173,0,0,0,0,0,0,0,146,0,0,167,313,26,1528,0,0,1738,3292,191,10435,0,0,9433,20059,0,0,0,0,0,0,0,0,0,0,0,0,0,1683,0,0,1528,3211,191,12118,0,0,10961,23270,1145,0,0,2775,14868,3509,0,0,92953,111330,4891480,258664996,0,201640813,465197289,4986230,106583357,0,0,0,124620989,236190576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9877710,365248353,0,0,326261802,701387865,8255129,259657878,0,0,79194610,347107617,0,0,0,0,0,0,8255129,259657878,0,0,79194610,347107617,11046880,145459685,2841611,0,0,145459685,2841611,38574157,44945490,21302639,6915148,,735130,103211750,360408869,56150775,0,39027955,0,39027955,5979895,235055869,0,0,218956152,459991916,1.34
21,Newport Hospital & Health Services,Newport,2018,1,24,82,23,0,0,12,117,23,0,0,0,0,23,10,8,0,0,5,23,0,0,0,0,0,0,115,31,0,0,17,163,298,51,0,0,21,370,153,0,0,0,0,153,219,2952,0,0,487,3658,0,0,0,0,0,0,670,3003,0,0,508,4181,0,16,22,149,1641,197,83,0,30677,32598,1140505,482017,0,196985,1819507,3981032,2315949,0,0,0,2993466,9290447,309876,0,0,0,0,309876,125965,732025,0,0,113002,970992,0,0,0,0,0,0,0,0,0,0,0,0,5557378,3529991,0,0,3303453,12390822,575769,307640,0,0,140982,1024391,1467403,595395,0,0,1262193,3324991,2043172,903035,0,0,1403175,4349382,87356,3828710,135312,737140,6449,4565850,141761,1211568,730856,373607,32542,,264260,1643359,8557782,59002,0,779638,125657,905295,2595106,1494871,0,0,2926772,7016749,0.5293
22,Lourdes Medical Center,Pasco,2018,1,95,310,73,0,0,147,530,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,7,47,348,75,0,0,154,577,1019,331,0,0,314,1664,0,0,0,0,0,0,0,0,0,0,0,0,428,47,0,0,89,564,1447,378,0,0,403,2228,320,0,0,83,5941,1095,0,0,52491,59527,18270375,3191726,0,7896828,29358929,15406992,12005905,0,0,0,18385587,45798484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33677367,15197631,0,0,26282415,75157413,23340031,11203757,0,0,12542497,47086285,0,0,0,0,0,0,23340031,11203757,0,0,12542497,47086285,344956,8990321,266846,1910346,12938,10900667,279784,3240034,4800994,660259,105579,,0,7985425,27692958,1096132,0,54406,0,54406,14840452,6476737,0,0,18619310,39936499,1.2052
23,Three Rivers Hospital,Brewster,2018,1,48,25,19,0,0,39,83,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,19,0,0,39,89,94,21,0,0,65,180,31,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,125,21,0,0,67,213,58,18,0,0,833,4,91,0,1935,2863,905734,106030,0,559435,1571199,1289269,193124,0,0,0,2633003,4115396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195003,299154,0,0,3192438,5686595,1067222,884020,0,0,652846,2604088,0,0,0,0,0,0,1067222,884020,0,0,652846,2604088,214770,1900889,46939,0,0,1900889,46939,367961,274151,90860,31660,,-11434,806068,3471589,35753,0,428165,0,428165,961163,990303,0,0,2352893,4304359,0.578
26,PeaceHealth St John Medical Center,Longview,2018,1,346,1050,448,0,0,331,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,448,0,0,331,1829,4805,1768,0,0,784,7357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4805,1768,0,0,784,7357,322,177,418,1382,12661,1507,344,0,13822,28334,43098164,17722557,0,10850675,71671396,54453023,36651017,0,0,0,34166438,125270478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97551187,54373574,0,0,45017113,196941874,70418591,45625083,0,0,15871078,131914752,0,0,0,0,0,0,70418591,45625083,0,0,15871078,131914752,2903112,23595783,621758,6414227,42865,30010010,664623,7673655,8181323,4391063,18514,,108939,16771630,67046195,1641759,0,8118,0,8118,40991554,30003905,0,0,48086218,119081677,0.8612
29,Harborview Medical Center,Seattle,2018,1,413,1354,1201,0,0,1103,3658,0,0,0,0,0,0,0,0,0,0,0,0,126,241,0,0,64,431,1480,1442,0,0,1167,4089,11157,10150,0,0,7256,28563,0,0,0,0,0,0,0,0,0,0,0,0,2678,4262,0,0,1012,7952,13835,14412,0,0,8268,36515,2566,0,0,3139,11222,1341,873,0,65281,78717,129953825,110667418,0,111230867,351852110,55214631,68522529,0,0,0,95245085,218982245,0,0,0,0,0,0,0,0,0,0,0,0,6054012,11600229,0,0,3233360,20887601,0,0,0,0,0,0,191222468,190790176,0,0,209709312,591721956,138193622,132969184,0,0,71157292,342320098,0,0,0,0,0,0,138193622,132969184,0,0,71157292,342320098,19467230,88521057,2271367,7229896,71503,95750953,2342870,33221147,43947814,7248463,1149,,5630803,72157080,252326606,20325287,0,-3983130,0,-3983130,110662332,136415710,0,0,250736696,497814738,1.7498
